timestamp;Langeland - Thruster 1 [kW];Langeland - Thruster 2 [kW];Langeland - Thruster 3 [kW];Langeland - Thruster 4 [kW];Langeland - Lever Thruster 1 [%];Langeland - Lever Thruster 2 [%];Langeland - Lever Thruster 3 [%];Langeland - Lever Thruster 4 [%];Langeland - Actual RPM Thruster 1 [RPM];Langeland - Actual RPM Thruster 2 [RPM];Langeland - Actual RPM Thruster 3 [RPM];Langeland - Actual RPM Thruster 4 [RPM];Langeland - Angle Thruster 1 [Degrees];Langeland - Angle Thruster 2 [Degrees];Langeland - Angle Thruster 3 [Degrees];Langeland - Angle Thruster 4 [Degrees];Langeland - Power DG 1 [kW];Langeland - Power DG 2 [kW];Langeland - Power DG 3 [kW];Langeland - Power DG 4 [kW];Langeland - Power DG 5 [kW];Langeland - Total Power [kW];Langeland - Fuel DG 1 [l/h];Langeland - Fuel DG 2 [l/h];Langeland - Fuel DG 3 [l/h];Langeland - Fuel DG 4  [l/h];Langeland - Fuel DG 5 [l/h];Langeland - Shore Power 1 [kW];Langeland - Shore Power 2 [kW];Langeland - Track speed [Knots];Langeland - Autopilot [on/off]
27.10.2019 08:11;14;2;13;4;0;0;0;0;0;0;0;0;100;82;87;103;0;0;55;62;0;117;0;0;37;37;0;0;0;0;0
27.10.2019 08:11;14;2;13;4;0;0;0;0;0;0;0;0;100;82;87;103;0;0;57;63;0;120;0;0;37;38;0;0;0;;0
27.10.2019 08:12;14;2;13;4;0;0;0;0;0;0;0;0;100;82;87;103;0;0;52;65;0;117;0;0;37;36;0;0;0;0;0
27.10.2019 08:12;14;2;13;5;0;0;0;0;0;0;0;0;100;82;87;103;0;0;69;48;0;117;0;0;38;36;0;0;0;;0
27.10.2019 08:12;13;2;14;4;0;0;0;0;0;0;0;0;100;82;87;103;0;0;52;64;0;116;0;0;37;37;0;0;0;0;0
27.10.2019 08:12;14;2;13;5;0;0;0;0;0;0;0;0;100;82;87;103;0;0;53;64;0;117;0;0;38;36;0;0;0;;0
27.10.2019 08:13;13;2;13;4;0;0;0;0;0;0;0;0;100;82;87;103;0;0;53;64;0;117;0;0;38;38;0;0;0;0;0
27.10.2019 08:13;13;2;12;5;0;0;0;0;0;0;0;0;100;82;87;103;0;0;52;68;0;120;0;0;38;38;0;0;0;;0
27.10.2019 08:13;14;2;13;4;0;0;0;0;0;0;0;0;100;82;87;103;0;0;53;52;0;105;0;0;38;36;0;0;0;0;0
27.10.2019 08:13;14;2;14;4;0;0;0;0;0;0;0;0;100;82;87;103;0;0;53;69;0;122;0;0;37;36;0;0;0;;0
27.10.2019 08:14;14;2;12;4;0;0;0;0;0;0;0;0;100;82;108;108;0;0;54;53;0;107;0;0;38;37;0;0;0;0;0
27.10.2019 08:14;78;72;73;63;33;33;31;31;533;537;500;500;100;82;114;114;0;0;211;213;0;424;0;0;53;49;0;0;0;;0
27.10.2019 08:14;134;129;183;185;40;40;45;45;648;652;711;719;101;82;134;134;0;0;401;423;0;824;0;0;102;106;0;0;0;0;0
27.10.2019 08:14;129;127;194;197;40;40;45;45;646;651;737;732;101;82;134;134;0;0;432;433;0;865;0;0;105;105;0;0;0;;0
27.10.2019 08:15;110;114;196;197;38;39;45;46;625;628;733;735;101;82;134;134;0;0;415;416;0;831;0;0;100;103;0;0;0;0;0
27.10.2019 08:15;115;109;195;200;38;38;45;46;615;619;735;738;101;82;134;134;0;0;415;415;0;830;0;0;102;104;0;0;0;;0
27.10.2019 08:15;188;195;257;253;46;47;51;51;746;763;830;820;7;7;3;4;0;0;594;571;0;1165;0;0;144;144;0;0;0;0.1;0
27.10.2019 08:15;173;174;233;231;46;47;51;51;745;759;827;827;1;1;3;4;0;0;526;537;0;1063;0;0;126;130;0;0;0;;0
27.10.2019 08:16;165;155;282;273;46;47;55;55;744;752;894;897;14;14;3;4;0;0;564;569;0;1133;0;0;136;141;0;0;0;3;0
27.10.2019 08:16;150;147;247;246;46;47;55;55;746;762;888;894;1;1;359;359;0;0;509;499;0;1008;0;0;125;125;0;0;0;;0
27.10.2019 08:16;143;135;245;248;47;47;55;55;754;764;894;893;1;1;0;0;0;0;494;499;0;993;0;0;119;125;0;0;0;05.feb;0
27.10.2019 08:16;240;234;341;332;55;56;63;63;890;903;1004;1010;1;1;0;0;0;0;711;706;0;1417;0;0;173;182;0;0;0;;0
27.10.2019 08:17;242;232;367;338;57;57;63;63;916;927;1017;1020;1;1;11;11;0;0;729;723;0;1452;0;0;177;183;0;0;0;06.aug;0
27.10.2019 08:17;240;227;376;366;58;58;68;68;934;942;1052;1054;1;1;10;7;0;0;739;737;0;1476;0;0;183;188;0;0;0;;0
27.10.2019 08:17;236;279;371;377;59;63;68;68;948;1011;1089;1088;3;359;355;355;0;0;759;774;0;1533;0;0;190;197;0;0;0;08.jun;1
27.10.2019 08:17;247;256;412;411;60;62;75;76;970;1003;1112;1116;3;359;8;10;0;0;808;808;0;1616;0;0;203;208;0;0;0;;1
27.10.2019 08:18;261;245;409;413;62;62;75;76;992;1003;1090;1099;3;359;20;18;0;0;799;811;0;1610;0;0;201;205;0;0;0;09.sep;1
